d=2	A=2347989
d=2	A=7490093
d=2	A=2509048
d=2	A=5007052
d=2	A=147602
d=3	A=3687340
d=2	A=8484550
d=2	A=6891608
d=2	A=1632939
d=2	A=8755713
d=2	A=2809531
d=2	A=1184202
d=2	A=2015814
d=3	A=1973134
d=2	A=11273502
d=3	A=4550836
d=3	A=3381223
d=2	A=3576979
d=2	A=5304782
d=4	A=5349405
d=2	A=3314669
d=3	A=4155995
d=2	A=2818691
d=2	A=1374240
d=3	A=3129779
d=2	A=2895033
d=2	A=6711424
d=2	A=1699897
d=2	A=1238465
d=2	A=455861
d=2	A=1201704
d=2	A=875381
d=3	A=1091717
d=2	A=5316017
d=2	A=11833059
d=4	A=7260044
d=2	A=850197
d=2	A=4924885
d=2	A=1995463
d=2	A=5350629
d=2	A=17242535
d=2	A=14793675
d=2	A=15076515
d=2	A=12070276
d=2	A=2734059
d=2	A=542673
d=4	A=15220165
d=3	A=1370172
d=2	A=7011968
d=2	A=5680638
d=2	A=5499260
d=2	A=1531171
d=2	A=7674311
d=2	A=3649962
d=2	A=4250386
d=3	A=16267342
d=3	A=9895122
d=2	A=1668009
d=3	A=5434391
d=3	A=13255141
d=3	A=12237854
d=2	A=2761356
d=3	A=15304419
d=2	A=6879052
d=2	A=6342069
d=2	A=14857532
d=3	A=10146041
d=4	A=20551214
d=2	A=19740505
d=2	A=12878054
d=3	A=16125860
d=2	A=80721327
d=2	A=44306662
d=2	A=42582869
d=2	A=14573495
d=2	A=9465613
d=4	A=66421480
d=2	A=68651954
d=2	A=49460753
d=2	A=104206574
d=2	A=9567166
d=2	A=63276339
d=3	A=166102115
d=2	A=73453018
d=4	A=76875925
d=2	A=168259626
d=2	A=112401051
d=2	A=238294272
d=3	A=505099000
d=3	A=597716961
d=2	A=284959880
d=4	A=640487610
d=3	A=49086406
d=3	A=160390852
d=2	A=269336562
d=2	A=128183126
d=2	A=38978972
d=2	A=330056464
d=2	A=136705828
d=2	A=62425209
d=3	A=165455752
d=3	A=78395205
d=2	A=56701207
d=2	A=44671280
d=2	A=129410226
d=2	A=69321339
d=2	A=1069669
d=2	A=80484905
d=3	A=29793238
d=2	A=30031407
d=2	A=36551580
d=3	A=37476209
d=2	A=38889803
d=3	A=31656791
d=2	A=19788456
d=2	A=9051346
d=2	A=40737255
d=3	A=55593525
d=2	A=26777079
d=2	A=4038876
d=2	A=28276534
d=3	A=25619783
d=2	A=62172705
d=2	A=16640414
d=3	A=42567888
d=2	A=37170790
d=3	A=43837414
d=3	A=82995289
d=2	A=17496100
d=2	A=19772310
d=2	A=18737386
d=2	A=173121096
d=2	A=108625159
d=2	A=25892002
d=3	A=130359918
d=2	A=45032137
d=2	A=39733739
d=3	A=77568787
d=2	A=10318712
d=2	A=30181962
d=2	A=124602283
d=2	A=56733314
d=2	A=4956951
d=2	A=32853612
d=2	A=14344612
d=2	A=112648767
d=3	A=18682847
d=2	A=66865988
d=3	A=71185403
d=2	A=19893740
d=3	A=44458100
d=2	A=62979995
d=2	A=54268655
d=2	A=83722552
d=2	A=7455116
d=3	A=83120582
d=2	A=31876209
d=3	A=95270883
d=2	A=67075375
d=2	A=12507740
d=3	A=92735502
d=2	A=67080514
d=2	A=13374621
d=2	A=21252971
d=4	A=186553258
d=4	A=89793208
d=3	A=156488793
d=3	A=47338208
d=3	A=67247704
d=2	A=13826038
d=2	A=17915282
d=3	A=42994844
d=2	A=28721263
d=4	A=40773688
d=2	A=14791879
d=2	A=103678834
d=2	A=23637532
d=3	A=312748742
d=3	A=12128556
d=4	A=31716645
d=2	A=392637
d=2	A=6975269
d=2	A=20209009
d=2	A=9649271
d=2	A=41993247
d=2	A=2939225
d=2	A=10595642
d=3	A=47793381
d=2	A=28444204
d=2	A=8281183
d=2	A=19012472
d=2	A=21312922
d=2	A=40246872
d=2	A=42552354
d=2	A=27455612
d=2	A=30062390
d=2	A=5845024
d=2	A=16955465
d=2	A=3881099
d=2	A=2947275
d=2	A=16848452
d=2	A=30850936
d=3	A=28100248
d=3	A=23393502
d=2	A=3857318
d=3	A=10398500
d=2	A=25525944
d=2	A=4274058
d=3	A=4975326
d=2	A=7575962
d=2	A=29019571
d=2	A=20671542
d=4	A=17375526
d=3	A=10004460
d=3	A=28287110
d=2	A=59966167
d=2	A=28722466
d=2	A=69443382
d=3	A=9443308
d=2	A=25247736
d=2	A=30522444
d=2	A=12117868
d=2	A=39765666
d=2	A=13970847
d=3	A=71530802
d=2	A=19201024
d=3	A=13828206
d=3	A=14824920
d=3	A=32562063
d=2	A=11603709
d=2	A=15673470
d=2	A=22110920
d=3	A=8116769
d=2	A=10625756
d=2	A=7790219
d=2	A=25377699
d=2	A=25220255
d=2	A=25567628
d=2	A=14975458
d=2	A=41997723
d=2	A=36675954
d=2	A=17916584
d=3	A=38662121
d=2	A=19848081
d=2	A=8859456
d=2	A=17799937
d=3	A=23089690
d=2	A=23936174
d=2	A=77605053
d=2	A=9742178
d=2	A=26502786
d=2	A=33854044
d=2	A=17800788
d=2	A=42838803
d=2	A=28713802
d=2	A=30851593
d=2	A=45043953
d=3	A=42558472
d=2	A=4412
d=2	A=12392368
d=2	A=50657248
d=3	A=40959930
d=2	A=37608106
d=4	A=35766229
d=2	A=19024053
d=2	A=16080227
d=3	A=21322548
d=2	A=54091517
d=4	A=56886496
d=2	A=41317397
d=2	A=39160766
d=2	A=29196145
d=2	A=9815628
d=2	A=88146923
d=2	A=25158559
d=2	A=15273120
d=2	A=84256617
